mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_epochs,param_kmeans_clusters,param_lr,param_max_keypoints_per_frame,param_sift_edge_threshold,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
605.1426339626312,13.358483320784641,50.640356636047365,0.39773187338308946,10,512,0.0001,300,10,"{'epochs': 10, 'kmeans_clusters': 512, 'lr': 0.0001, 'max_keypoints_per_frame': 300, 'sift_edge_threshold': 10}",0.6967741935483871,0.5419354838709678,0.6818181818181818,0.5584415584415584,0.6818181818181818,0.6321575198994553,0.06735241043444919,25
612.2407894134521,24.365623643428663,50.24448003768921,0.43270787392523863,10,512,0.0001,300,15,"{'epochs': 10, 'kmeans_clusters': 512, 'lr': 0.0001, 'max_keypoints_per_frame': 300, 'sift_edge_threshold': 15}",0.6903225806451613,0.5548387096774193,0.7207792207792207,0.5584415584415584,0.6363636363636364,0.6321491411813992,0.06733039820301573,26
601.9982038974762,11.34105186500492,50.04092473983765,0.09767747877213753,10,512,0.0001,500,10,"{'epochs': 10, 'kmeans_clusters': 512, 'lr': 0.0001, 'max_keypoints_per_frame': 500, 'sift_edge_threshold': 10}",0.6709677419354839,0.5612903225806452,0.6623376623376623,0.5454545454545454,0.6363636363636364,0.6152827817343947,0.05205871154861145,35
608.8683679580688,7.910424102675814,50.02918057441711,0.17392907005051403,10,512,0.0001,500,15,"{'epochs': 10, 'kmeans_clusters': 512, 'lr': 0.0001, 'max_keypoints_per_frame': 500, 'sift_edge_threshold': 15}",0.7161290322580646,0.5612903225806452,0.7012987012987013,0.564935064935065,0.6493506493506493,0.638600754084625,0.06551452255315456,18
603.710856628418,8.160038730139885,50.15299816131592,0.1379626066735536,10,512,0.0001,800,10,"{'epochs': 10, 'kmeans_clusters': 512, 'lr': 0.0001, 'max_keypoints_per_frame': 800, 'sift_edge_threshold': 10}",0.6903225806451613,0.567741935483871,0.6623376623376623,0.5584415584415584,0.6623376623376623,0.6282362798491831,0.054242762021004635,30
607.5222958564758,6.573073550487133,50.249064445495605,0.11137558463089527,10,512,0.0001,800,15,"{'epochs': 10, 'kmeans_clusters': 512, 'lr': 0.0001, 'max_keypoints_per_frame': 800, 'sift_edge_threshold': 15}",0.6838709677419355,0.5032258064516129,0.6948051948051948,0.5584415584415584,0.6753246753246753,0.6231336405529954,0.07760501643620547,33
601.8321566104889,4.256088556848136,50.41657676696777,0.16261288740644583,10,512,0.001,300,10,"{'epochs': 10, 'kmeans_clusters': 512, 'lr': 0.001, 'max_keypoints_per_frame': 300, 'sift_edge_threshold': 10}",0.47096774193548385,0.47096774193548385,0.474025974025974,0.525974025974026,0.4675324675324675,0.48189359028068707,0.022135827823509115,54
622.254535150528,10.859276799966214,50.4573513507843,0.14104775074498926,10,512,0.001,300,15,"{'epochs': 10, 'kmeans_clusters': 512, 'lr': 0.001, 'max_keypoints_per_frame': 300, 'sift_edge_threshold': 15}",0.47096774193548385,0.47096774193548385,0.474025974025974,0.474025974025974,0.4675324675324675,0.4715039798910767,0.0024111790285059782,60
615.4789796352386,6.706632823199593,50.625604438781735,0.14185057329977685,10,512,0.001,500,10,"{'epochs': 10, 'kmeans_clusters': 512, 'lr': 0.001, 'max_keypoints_per_frame': 500, 'sift_edge_threshold': 10}",0.47096774193548385,0.5290322580645161,0.474025974025974,0.525974025974026,0.4675324675324675,0.49350649350649356,0.027850876463308295,39
595.8907123565674,26.405329629578752,50.27373905181885,0.2576921501434811,10,512,0.001,500,15,"{'epochs': 10, 'kmeans_clusters': 512, 'lr': 0.001, 'max_keypoints_per_frame': 500, 'sift_edge_threshold': 15}",0.47096774193548385,0.47096774193548385,0.474025974025974,0.525974025974026,0.4675324675324675,0.48189359028068707,0.022135827823509115,54
583.5357326984406,15.334262721987379,50.6020544052124,0.04835401045156659,10,512,0.001,800,10,"{'epochs': 10, 'kmeans_clusters': 512, 'lr': 0.001, 'max_keypoints_per_frame': 800, 'sift_edge_threshold': 10}",0.47096774193548385,0.47096774193548385,0.474025974025974,0.474025974025974,0.5324675324675324,0.4844909928780896,0.024027227148553862,44
592.3212564468383,23.63668298215843,51.01862196922302,0.13375983926176865,10,512,0.001,800,15,"{'epochs': 10, 'kmeans_clusters': 512, 'lr': 0.001, 'max_keypoints_per_frame': 800, 'sift_edge_threshold': 15}",0.47096774193548385,0.47096774193548385,0.474025974025974,0.474025974025974,0.4675324675324675,0.4715039798910767,0.0024111790285059782,60
589.8196727752686,11.794405511896331,51.34109663963318,0.12134508604738004,10,1024,0.0001,300,10,"{'epochs': 10, 'kmeans_clusters': 1024, 'lr': 0.0001, 'max_keypoints_per_frame': 300, 'sift_edge_threshold': 10}",0.6967741935483871,0.6,0.7012987012987013,0.564935064935065,0.6428571428571429,0.6411730205278593,0.05332329263988162,14
590.1654175281525,10.195295874455034,51.393593835830686,0.08354302715473004,10,1024,0.0001,300,15,"{'epochs': 10, 'kmeans_clusters': 1024, 'lr': 0.0001, 'max_keypoints_per_frame': 300, 'sift_edge_threshold': 15}",0.6838709677419355,0.5806451612903226,0.6753246753246753,0.5584415584415584,0.6558441558441559,0.6308253037285295,0.05133699013605384,28
588.4371990680695,6.511438081584504,51.54534749984741,0.1311511792223246,10,1024,0.0001,500,10,"{'epochs': 10, 'kmeans_clusters': 1024, 'lr': 0.0001, 'max_keypoints_per_frame': 500, 'sift_edge_threshold': 10}",0.7096774193548387,0.5870967741935483,0.6753246753246753,0.5584415584415584,0.6493506493506493,0.635978215333054,0.055785064360734264,21
